edge_id,from,to,flow
-209433680#2,299,111,0.0
-209433680#6,300,299,0.0
-209433680#7,301,300,0.0
-209433680#9,302,301,0.0
-214400090#1,303,304,0.0
-214400090#2,305,303,0.0
-214400092,304,207,0.0
-220308738#2,306,307,0.0
-220308738#4,308,306,0.0
-244125307#2,309,240,0.0
-244125310#1,310,311,0.0
-244125311#2,130,312,0.0
-244125311#6,136,130,0.0
-244125311#8,132,136,0.0
-244125311#9,313,132,0.0
-244132258#1,314,315,0.0
-246361753,316,317,0.0
-250086678#0,318,319,0.0
-250086678#3,320,318,0.0
-250086678#5,321,320,0.0
-250086689#0,319,322,0.0
-250100336#8,323,324,0.0
-250276025,325,226,0.0
-250276991#10,326,327,0.0
-250276991#11,328,326,0.0
-250276991#2,329,330,0.0
-250276991#3,331,329,0.0
-250276991#4,332,331,0.0
-250276991#5,333,332,0.0
-250276991#6,334,333,0.0
-250276991#7,335,334,0.0
-250276991#8,336,335,0.0
-250276991#9,327,336,0.0
-250280383#0,337,332,0.0
-250280383#1,329,337,0.0
-250285869,326,338,0.0
-250285871,327,339,0.0
-250285875,336,340,0.0
-250292616#0,341,333,0.0
-250292616#1,342,341,0.0
-250292616#2,343,342,0.0
-250292618,341,334,0.0
-250294198#0,331,344,0.0
-250294198#1,337,331,0.0
-253557194#1,345,346,0.0
-253557195#0,285,346,0.0
-253557195#2,347,285,0.0
-254237235#3,348,349,0.0
-254237235#7,350,348,0.0
-257684424#3,351,346,0.0
-257690252#0,157,352,0.0
-257690252#1,28,157,0.0
-257769483#0,353,354,0.0
-257769483#1,355,353,0.0
-257769483#2,356,355,0.0
-259619727#0,357,358,0.0
-26640487,21,67,0.0
-288104875#10,359,360,0.0
-288104875#11,56,359,0.0
-289599543#1,139,318,0.0
-289794264#0,198,197,0.0
-289794264#1,361,198,0.0
-289794296#6,362,363,0.0
-289794301#1,364,198,0.0
-289794309#1,365,366,0.0
-295021292#1,367,368,0.0
-295026431,369,135,0.0
-295192504,370,371,0.0
-297337158#4,372,373,0.0
-297693829#0,374,375,0.0
-297693829#1,376,374,0.0
-297693832#0,377,378,0.0
-297693832#1,379,377,0.0
-300197806,380,381,0.0
-300198414,382,262,0.0
-307669477,383,384,0.0
-319674205#0,193,189,0.0
-320029967#0,233,385,0.0
-320210933#1,79,386,0.0
-320335709#2,387,290,0.0
-320335709#4,388,387,0.0
-320335709#5,389,388,0.0
-333846925#1,143,87,0.0
-333846928,390,322,0.0
-334461376#1,8,57,0.0
-344154117#1,391,392,0.0
-368742218#0,157,313,0.0
-369119776,393,394,0.0
-369119777,394,395,0.0
-369119778,395,396,0.0
-369119779#1,395,397,0.0
-369505146,398,357,0.0
-369511431,399,400,0.0
-369540494#3,401,402,0.0
-369890250,403,165,0.0
-369921066#1,404,405,0.0
-370035944#1,406,407,0.0
-370037212#1,408,409,0.0
-376301527#3,410,411,0.0
-376302310,412,413,0.0
-376302311,414,30,0.0
-376302312#0,415,144,0.0
-376302312#1,413,415,0.0
-376302313#1,144,414,0.0
-376304856#1,416,196,0.0
-376304856#2,108,416,0.0
-376304857#0,417,418,0.0
-376304857#1,419,417,0.0
-376304857#2,420,419,0.0
-376304857#3,196,420,0.0
-376304859,418,361,0.0
-376332577#2,42,29,0.0
-376333335,410,255,0.0
-376334049#4,421,422,0.0
-376334050,423,422,0.0
-376334597#0,424,425,0.0
-376334597#5,426,424,0.0
-376334598#0,427,423,0.0
-376336136#2,289,428,0.0
-38536191,429,430,0.0
-386165174#5,348,431,0.0
-38882688#2,432,0,0.0
-38882688#3,433,432,0.0
-38882690,434,435,0.0
-38883323,43,436,0.0
-38883328#1,437,438,0.0
-38883330#3,439,440,0.0
-38883334,441,433,0.0
-38883335#1,442,45,0.0
-38883341#0,438,443,0.0
-38883341#2,440,438,0.0
-38883341#6,444,440,0.0
-397738613,397,434,0.0
-414350116,445,393,0.0
-41947140,147,163,0.0
-419681616#1,446,70,0.0
-419681616#2,447,446,0.0
-42373365#1,448,449,0.0
-42373365#2,450,448,0.0
-445315926#1,123,451,0.0
-445315926#3,452,123,0.0
-449550516#3,453,112,0.0
-469349220#1,454,323,0.0
-471683739,328,455,0.0
-475037415,239,81,0.0
-484799634#1,456,457,0.0
-48975951,435,458,0.0
-490905312,459,362,0.0
-500090840#1,425,427,0.0
-501131691#1,460,324,0.0
-510022602#1,68,70,0.0
-510022602#2,69,68,0.0
-510022606#1,461,68,0.0
-510064052,462,463,0.0
-511312541#1,375,319,0.0
-522386493#1,65,464,0.0
-522386493#2,465,65,0.0
-53275488#1,466,467,0.0
-53275488#2,468,466,0.0
-53275493#2,467,469,0.0
-53275493#3,470,467,0.0
-53275525,471,466,0.0
-53275528#0,469,472,0.0
-53275528#1,473,469,0.0
-53275549#3,432,474,0.0
-53275556#1,463,475,0.0
-53275556#2,476,463,0.0
-53275606#1,447,477,0.0
-53292011,478,6,0.0
-53293145,479,114,0.0
-53293172#2,480,481,0.0
-53301484#5,482,483,0.0
-53350683#0,484,485,0.0
-53350683#2,477,484,0.0
-53350684#0,476,477,0.0
-53350684#10,486,229,0.0
-53350684#4,229,476,0.0
-53350685,487,488,0.0
-53350687,489,490,0.0
-53731180,491,442,0.0
-54532839#8,492,493,0.0
-54532848,494,377,0.0
-54532861#0,495,496,0.0
-54532861#1,497,495,0.0
-54532861#4,375,497,0.0
-54532887#1,498,499,0.0
-54532888#2,242,500,0.0
-54532897#0,313,129,0.0
-54532897#1,134,313,0.0
-54532897#2,135,134,0.0
-54532899#1,369,168,0.0
-54532899#2,367,369,0.0
-546612506#1,117,501,0.0
-548139424#0,191,502,0.0
-548139424#1,503,191,0.0
-550689003,504,203,0.0
-550689004#1,328,504,0.0
-55360544,254,253,0.0
-55361274#2,505,506,0.0
-55361275#1,506,507,0.0
-55361279#0,507,397,0.0
-55361279#1,508,507,0.0
-55361355,256,509,0.0
-55565348#2,177,472,0.0
-556437693,510,260,0.0
-57718353#1,511,411,0.0
-57718353#2,512,511,0.0
-57718353#4,423,512,0.0
-57721138#6,389,411,0.0
-57721141#2,513,282,0.0
-57721141#3,514,513,0.0
-57721147#2,515,281,0.0
-57721147#3,516,515,0.0
-57721148#3,253,509,0.0
-57721150#1,279,517,0.0
-57721154,411,410,0.0
-57721155#2,278,515,0.0
-57721158#1,288,518,0.0
-57847528#0,519,520,0.0
-57847528#3,427,519,0.0
-57847530#1,521,522,0.0
-57847532,519,523,0.0
-57847533,524,512,0.0
-57847535#0,522,388,0.0
-57847542#0,525,526,0.0
-57847543#0,527,528,0.0
-57847543#1,529,527,0.0
-57847544,521,530,0.0
-57847546#1,531,532,0.0
-57847549#2,533,525,0.0
-57847551,422,421,0.0
-57849895#4,534,535,0.0
-57849895#5,536,534,0.0
-57849896#5,537,280,0.0
-57849896#9,538,537,0.0
-57851094,539,540,0.0
-57851101#1,541,542,0.0
-57851107#3,543,255,0.0
-57851107#4,540,543,0.0
-57851107#9,386,540,0.0
-57851112#0,542,255,0.0
-57851112#1,544,542,0.0
-57851113,545,546,0.0
-57853979#0,296,547,0.0
-57853979#1,548,296,0.0
-57853979#2,549,548,0.0
-57853979#3,550,549,0.0
-57853979#5,551,550,0.0
-57853979#6,552,551,0.0
-57853980,553,554,0.0
-57853981#1,551,555,0.0
-57853982,552,556,0.0
-57853985#0,295,548,0.0
-57853985#1,149,295,0.0
-57853986#0,554,557,0.0
-57853986#1,549,554,0.0
-57941238,558,559,0.0
-57941247#1,560,561,0.0
-57941248#1,560,562,0.0
-57942571#0,563,564,0.0
-57942571#1,565,563,0.0
-57942572#3,566,567,0.0
-57942572#6,568,566,0.0
-57942572#7,569,568,0.0
-57942572#8,570,569,0.0
-57942572#9,571,570,0.0
-57942574#1,572,126,0.0
-57942574#2,573,572,0.0
-57942575,574,575,0.0
-57942576#0,576,577,0.0
-57942576#1,578,576,0.0
-57942577#0,174,172,0.0
-57942580#0,171,299,0.0
-57942580#2,579,171,0.0
-57942582#1,563,580,0.0
-57942583,53,16,0.0
-57942584#0,581,582,0.0
-57942584#1,583,581,0.0
-57942585#3,584,583,0.0
-57942585#4,585,584,0.0
-57942589,586,587,0.0
-57942590#1,588,589,0.0
-57942590#2,577,588,0.0
-57942591#2,590,174,0.0
-57942593#0,565,566,0.0
-57942593#1,591,565,0.0
-57942594#1,366,124,0.0
-57942594#10,592,593,0.0
-57942594#16,594,592,0.0
-57942594#17,592,594,0.0
-57942594#4,595,366,0.0
-57942594#9,593,595,0.0
-57942596,576,588,0.0
-57942597#0,596,502,0.0
-57942597#1,597,596,0.0
-57942605,574,598,0.0
-57942607#0,568,599,0.0
-57942607#2,600,568,0.0
-57942608#0,601,54,0.0
-57942608#1,16,601,0.0
-57942609,575,591,0.0
-57942610#0,602,301,0.0
-57942610#7,603,602,0.0
-57942611,580,127,0.0
-57942612,125,596,0.0
-57942613#0,118,569,0.0
-57942613#1,604,118,0.0
-57942614#0,189,503,0.0
-57942616,564,605,0.0
-57942617#2,606,607,0.0
-57944217,608,609,0.0
-57945270,610,292,0.0
-57945271#5,584,163,0.0
-57945273#2,294,611,0.0
-57946631,570,612,0.0
-57946632#1,613,614,0.0
-57946632#2,416,613,0.0
-57946633#0,73,615,0.0
-57946633#1,616,73,0.0
-57946635#3,424,109,0.0
-57947755#1,617,618,0.0
-57949095,197,417,0.0
-57949099,419,195,0.0
-57949103,619,620,0.0
-57949108,194,420,0.0
-58530583#0,594,593,0.0
