edge_id;from;to;flow
-201558157#0;2115710642;cluster_11724827877_11724827878;0.0
-201558157#1;1015081974;2115710642;0.0
-201558157#4;941384576;1015081974;0.0
-201558159;941384576;941308143;0.0
-201558172;941289377;1015081974;0.0
-201567418#1;2115870572;2115870391;0.0
-201567431#1;1016040547;1016040607;0.0
-201567461#0;1016030000;772081266;0.0
-201567461#1;1015081936;1016030000;0.0
-201567461#4;772081298;1015081936;0.0
-201574226;1015102221;941308143;0.0
-201587239#0;1016040607;2116126265;0.0
-201587239#1;2116126239;1016040607;0.0
-201587840#0;1016030004;1015081936;0.0
-201587840#2;2115870572;1016030004;0.0
-201587840#3;1016029989;2115870572;0.0
-201624105#0;773238806;1017730972;0.0
-201624105#1;773238807;773238806;0.0
-201624105#4;772081284;773238807;0.0
-201835024#0;2567631227;2116515412;0.0
-202399727#1;2123713368;2123713363;0.0
-203097072#0;1225880607;1225946619;0.0
-203097072#1;1225880893;1225880607;0.0
-207602447#2;966707418;cluster_1139328684_1139328775;0.0
-207602447#3;2178560818;966707418;0.0
-207602457;941384561;2115710642;0.0
-207625916;686792403;2663750270;0.0
-207625917;985045838;873563448;0.0
-207625920;2371568724;1137747532;0.0
-207625934;686792766;1607930811;0.0
-207626643#1;2178769368;3259835731;0.0
-207637464#1;1139328824;1139328669;0.0
-207719090#0;1225946619;1225946613;0.0
-207719090#1;1225946577;1225946619;0.0
-207719090#2;1225946565;1225946577;0.0
-207719092#3;2179728479;1225880715;0.0
-207719105#4;cluster_1225652382_6578749326;1225881125;0.0
-209011824#6;2192559852;695547387;0.0
-209011825#1;695547248;2192559745;0.0
-209082521#7;cluster_715598886_715599315;695559961;0.0
-209082524;1136250085;1136249496;0.0
-209082527;2193111331;461890609;0.0
-209082530;2193111336;1136249496;0.0
-209091170#8;cluster_2193189449_2193189486;cluster_12094827156_12097596056;0.0
-209174438;1141237475;1136253791;0.0
-209179339#0;1166259003;1166259296;0.0
-209179339#1;7617482385;1166259003;0.0
-209179340#0;1166259209;1166259107;0.0
-209179340#2;1166259305;1166259209;0.0
-209201831;1136249496;1136253331;0.0
-209201834;1136249570;1136250085;0.0
-209215498;461890677;717703050;0.0
-209215499#1;2194461203;1166259111;0.0
-209215500;461890693;1166259091;0.0
-209219202;1136247156;2194490123;0.0
-209241369#1;715642781;1136247156;0.0
-209241369#19;7117278395;715642804;0.0
-209241369#22;715642937;7117278395;0.0
-209241369#7;715642804;715642781;0.0
-209248528;2194734768;1136247404;0.0
-209249487#0;717702981;1164890463;0.0
-209249487#1;461890693;717702981;0.0
-209259404#2;717702973;717703180;0.0
-209259407#1;717703168;717702973;0.0
-209259422#2;717703131;717703168;0.0
-209269005;719070631;717725023;0.0
-209277490;719070625;719070631;0.0
-209277502;2195004461;1387794987;0.0
-209277516#3;717797509;1387794987;0.0
-209433637#6;1225652494;726562086;0.0
-209433637#7;1225880494;1225652494;0.0
-209433637#8;1225946619;1225880494;0.0
-209433680#2;719065674;726579243;0.0
-209433680#6;7235330207;719065674;0.0
-209433680#7;719065657;7235330207;0.0
-209433680#9;1141849861;719065657;0.0
-214400090#1;772081205;1015081921;0.0
-214400090#2;1016040531;772081205;0.0
-214400092;1015081921;941384576;0.0
-220308738#2;278814366;461904499;0.0
-220308738#4;7114817939;278814366;0.0
-244125307#2;2631705635;2371568724;0.0
-244125310#1;2178561190;cluster_1227155219_2178561185_7494849068;0.0
-244125311#2;686822499;2514751831;0.0
-244125311#6;686822510;686822499;0.0
-244125311#8;686822462;686822510;0.0
-244125311#9;686822463;686822462;0.0
-244132258#1;2194748142;717703109;0.0
-246361753;1136249892;1136251740;0.0
-250086678#0;2565984411;4990212701;0.0
-250086678#3;686822087;2565984411;0.0
-250086678#5;3737083734;686822087;0.0
-250086689#0;4990212701;933736933;0.0
-250100336#8;2631675833;cluster_2566083644_2631675868;0.0
-250276025;2567631151;2567631227;0.0
-250276991#10;2567709276;2567709220;0.0
-250276991#11;1015027003;2567709276;0.0
-250276991#2;2567671580;2567773360;0.0
-250276991#3;2567671615;2567671580;0.0
-250276991#4;2567636954;2567671615;0.0
-250276991#5;2567760918;2567636954;0.0
-250276991#6;2567709294;2567760918;0.0
-250276991#7;773475015;2567709294;0.0
-250276991#8;2567709296;773475015;0.0
-250276991#9;2567709220;2567709296;0.0
-250280383#0;2567671595;2567636954;0.0
-250280383#1;2567671580;2567671595;0.0
-250285869;2567709276;2567709264;0.0
-250285871;2567709220;2567709189;0.0
-250285875;2567709296;cluster_2599605967_773477517;0.0
-250292616#0;2567760906;2567760918;0.0
-250292616#1;773474103;2567760906;0.0
-250292616#2;2567760902;773474103;0.0
-250292618;2567760906;2567709294;0.0
-250294198#0;2567671615;2567671562;0.0
-250294198#1;2567671595;2567671615;0.0
