	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	85	86	87	88	89	90	91	92	93	94	95	96	98	99	100	101	102	103	105	106	107	108	109	110	111	112	113	114	115	116	117	84	118	119
1	12.1227	1.80513	2.16271	5.65515	3.86115	0.426989	2.56341	11.9246	28.6005	6.83059	2.59366	13.2818	8.89363	4.58671	0.5746	4.15651	2.51951	0.25036	0.695807	3.50427	2.17249	0.0830084	0.4261	0.027664	2.07616	0.0445653	1.61667	0.0868816	0.525344	0.600992	1.04414	1.16378	0.673738	3.08866	1.67094	2.07341	3.75812	7.66285	3.37343	1.59079	2.69399	2.19998	1.42276	3.54812	0.685223	1.01256	0.0692491	1.57356	9.58138	18.8569	1.21413	0.527797	0.113267	0.315453	0.421799	0.826382	1.91704	1.25611	1.34056	0.256485	0.0350766	0.074434	0.0742793	0.161296	0.190155	0.978874	0.527782	0.670256	0.930281	0.363661	0.543936	1.06807	1.89572	2.62491	1.88588	2.58683	2.61325	3.09836	0.294802	0.245768	0.113607	0.229639	0.114496	1.85305	0.523334	0.835306	0.205434	0.289375	2.1188	0.0625808	0.279393	0.138728	0.0855715	0.147258	0.0658709	0.379897	0.277975	0.164554	1.08759	2.20546	5.46553	12.1666	9.02881	4.28737	1.51442	3.29908	4.63729	5.20563	0.729602	7.22681	10.1262	4.66033	1.08704	0.246545	15.1526	5.87488	55.3237
2	4.2907	1.48895	1.14246	2.32938	1.78775	0.194654	1.17933	4.9067	11.681	2.7833	1.2974	6.7561	4.45114	2.10236	0.28011	1.90803	1.30285	0.108735	0.279232	1.821	1.07377	0.0378911	0.175573	0.0127309	0.812639	0.0206132	0.823339	0.0421785	0.273561	0.296065	0.532017	0.474901	0.311506	1.35555	0.780579	1.00729	1.8065	3.66587	1.63171	0.769229	1.40437	1.14264	0.737911	1.8224	0.296339	0.46553	0.0316647	0.644373	4.0949	7.2137	0.539248	0.238726	0.0514244	0.130831	0.178804	0.335264	0.842599	0.534268	0.69767	0.132496	0.0158658	0.0335817	0.0334958	0.0772906	0.0774132	0.434222	0.276518	0.333762	0.452135	0.186815	0.264511	0.556198	0.97828	1.35828	0.982853	1.24596	1.27353	1.50108	0.142452	0.117267	0.0543495	0.110189	0.0546617	0.878866	0.271781	0.433455	0.104787	0.146029	1.08772	0.032152	0.144104	0.0716987	0.0443145	0.0759768	0.0318014	0.194024	0.116802	0.0731258	0.548316	1.07858	2.87925	6.45781	4.5115	2.21027	0.605442	1.35486	2.1296	2.40383	0.326547	2.90151	4.24432	2.07997	0.461067	0.11662	6.62224	2.30469	21.7101
3	1.71593	0.383625	1.49992	1.90047	1.25078	0.138594	0.832431	1.66007	6.05826	2.31003	0.769146	4.02041	3.37364	1.57008	0.172786	1.44903	0.847184	0.0848656	0.254921	1.26656	0.874892	0.0278552	0.148003	0.00965277	0.696171	0.0155676	0.509774	0.0282258	0.180052	0.193354	0.332052	0.43016	0.261741	1.17552	0.655697	0.842021	1.53355	3.05705	1.35911	0.644722	0.967127	0.804643	0.502294	1.16667	0.26044	0.373802	0.0246354	0.490041	3.21347	6.0761	0.464011	0.192589	0.0421175	0.117541	0.152508	0.305359	0.734984	0.462191	0.428369	0.0818032	0.0118281	0.0251527	0.0251302	0.0631921	0.0694877	0.343547	0.188915	0.245932	0.339022	0.130723	0.215009	0.379922	0.664441	0.924539	0.683536	1.05254	1.05518	1.25902	0.119547	0.0974596	0.0453297	0.0925099	0.0457005	0.755301	0.184758	0.294886	0.0724806	0.101982	0.74678	0.0211969	0.0945151	0.046924	0.0289602	0.0498393	0.0224455	0.128305	0.0937015	0.0561519	0.349001	0.856123	2.25324	4.91741	2.84707	1.29819	0.498931	1.09334	1.51154	1.6853	0.23536	2.41054	3.43707	1.61256	0.38888	0.101131	5.09114	0.823172	17.4631
4	1.03127	0.19864	0.393416	1.50601	1.194	0.140289	0.815119	0.799574	2.65335	1.39963	0.567264	2.56659	1.89847	1.53927	0.127482	1.41085	0.452238	0.0929628	0.346057	0.551228	0.403178	0.026147	0.189993	0.00948994	0.93694	0.0148506	0.261046	0.0203211	0.0868965	0.124859	0.17247	0.527011	0.175605	1.03766	0.42975	0.382594	0.68392	1.61677	0.629735	0.284233	0.448512	0.412171	0.270457	0.648532	0.250387	0.327627	0.0245893	0.650576	2.01296	4.88625	0.391382	0.173527	0.0357273	0.135016	0.178992	0.382619	0.662118	0.52427	0.19323	0.0385292	0.0115893	0.0249579	0.0250248	0.0382006	0.0938515	0.36064	0.0842748	0.143904	0.235568	0.0662854	0.125988	0.199058	0.329093	0.466323	0.310038	0.471661	0.466556	0.545676	0.0526119	0.0516699	0.0230102	0.043991	0.0232607	0.346732	0.0992465	0.158851	0.0416248	0.0585844	0.434601	0.0106878	0.042797	0.0213021	0.0132307	0.0241052	0.0167774	0.060055	0.0886399	0.0585278	0.219694	0.575713	0.889261	1.97715	1.90651	0.845494	0.469119	1.12251	1.55017	1.68642	0.248773	1.45705	3.13672	0.676733	0.188782	0.0453434	2.17482	0.482831	8.85035
5	0.737749	0.160895	0.268043	1.31177	2.01556	0.266722	0.96856	0.526603	1.53276	1.06906	0.495773	2.19585	1.62255	1.37627	0.120088	1.25562	0.374544	0.0826605	0.285531	0.359314	0.267125	0.0252763	0.166623	0.00919813	0.804496	0.0145226	0.204785	0.0178718	0.0600484	0.10093	0.122544	0.414124	0.125638	0.776752	0.307082	0.235059	0.429735	1.05847	0.404404	0.174383	0.353397	0.333524	0.212834	0.540235	0.190795	0.258554	0.0222828	1.15101	1.71151	4.06329	0.290689	0.15969	0.0302741	0.105177	0.146982	0.306722	0.497876	0.428131	0.136137	0.0288457	0.0111801	0.0239853	0.0240067	0.0292339	0.0783202	0.304726	0.0595354	0.106954	0.178065	0.0473736	0.0963696	0.173655	0.265833	0.375561	0.225619	0.288614	0.286351	0.317736	0.0319193	0.0352862	0.0151112	0.0271726	0.0152659	0.190273	0.0787614	0.125611	0.0330647	0.0443086	0.35126	0.0078478	0.0280115	0.0140405	0.00894604	0.0170226	0.0149799	0.0385474	0.0778691	0.0523817	0.182527	0.483218	0.607293	1.46947	1.74553	0.727678	0.398169	1.076	1.82659	2.3738	0.475537	1.16428	2.75765	0.402059	0.100317	0.0270743	1.40533	0.242228	6.08844
6	0.227822	0.0455763	0.0877426	0.469705	0.834683	0.223305	0.348156	0.181941	0.56315	0.367574	0.137818	0.667609	0.43802	0.293048	0.0291371	0.269619	0.120714	0.0159748	0.0514788	0.131557	0.0925433	0.00514835	0.0304815	0.00189026	0.14069	0.00298323	0.0594136	0.00414705	0.0196498	0.0259256	0.0375473	0.0781568	0.0320307	0.168733	0.0801544	0.0813823	0.147845	0.325135	0.132656	0.0634368	0.126958	0.116041	0.078062	0.16392	0.0399096	0.0565911	0.00460763	1.12365	0.599241	1.05106	0.0649102	0.0290149	0.0064962	0.0203538	0.0278997	0.0570514	0.107698	0.0775007	0.0467049	0.00918515	0.00226002	0.0048277	0.00482505	0.00795491	0.0141117	0.0610719	0.0212016	0.0300065	0.0447014	0.0149243	0.0275741	0.0516513	0.0848184	0.125121	0.0798132	0.100913	0.102015	0.116617	0.0116907	0.0106529	0.00475314	0.00910973	0.0047819	0.0680602	0.0288151	0.045943	0.0113336	0.0154824	0.119458	0.00248049	0.00998528	0.00500089	0.00313782	0.00564304	0.00344534	0.0134861	0.0152229	0.0103914	0.0508458	0.109022	0.21417	0.512705	0.469999	0.23837	0.116941	0.337905	0.63193	0.833363	0.513616	0.390569	0.728318	0.150417	0.0347059	0.0094986	0.499063	0.0816888	2.21385
7	0.981932	0.197911	0.380308	2.01324	2.25479	0.248983	2.91243	0.789712	2.43665	1.57534	0.608076	2.91901	1.94354	1.33905	0.126867	1.2327	0.525996	0.0713554	0.239218	0.57303	0.397406	0.0223191	0.141371	0.00816865	0.665868	0.01289	0.262182	0.0180462	0.0851145	0.115235	0.16573	0.362278	0.142629	0.768868	0.355943	0.354482	0.64491	1.42807	0.577345	0.275855	0.551371	0.50379	0.339078	0.721926	0.182287	0.257466	0.0199346	0.856936	2.584	4.6622	0.294599	0.12556	0.0283183	0.0940207	0.12945	0.265057	0.490929	0.359082	0.202893	0.0398734	0.00982582	0.0210198	0.0210187	0.0344391	0.065633	0.281662	0.0922068	0.132631	0.200031	0.0648541	0.121268	0.223372	0.370811	0.545322	0.347664	0.441377	0.442387	0.507973	0.0508583	0.0459603	0.0205536	0.0395549	0.0206812	0.298068	0.12508	0.199476	0.0494709	0.0680377	0.521576	0.0108121	0.0438165	0.0219079	0.0137249	0.0246187	0.0149676	0.0593008	0.0660399	0.0467784	0.225343	0.486756	0.923832	2.21249	2.04311	1.03116	0.514892	1.49173	3.0465	3.09114	0.425557	1.69077	3.23348	0.648239	0.152705	0.0417666	2.15294	0.358354	9.53804
8	4.64887	0.818069	0.842406	1.89478	1.32501	0.148025	0.885539	9.2328	20.8665	2.3702	1.23228	5.9158	4.36441	2.85143	0.281757	2.56038	1.06729	0.159597	0.505183	1.23065	0.784771	0.0467423	0.312856	0.0156732	1.63049	0.024806	0.658836	0.041755	0.196841	0.268577	0.405934	0.793635	0.299005	1.66718	0.738666	0.717199	1.28505	2.93889	1.16128	0.530633	1.06274	0.890719	0.574625	1.4466	0.392339	0.552871	0.0393987	0.484794	3.29587	8.20188	0.633753	0.278651	0.0599587	0.205144	0.285454	0.570197	1.05332	0.802659	0.484875	0.0964884	0.0204373	0.04356	0.0434328	0.0657376	0.140909	0.619742	0.19099	0.279164	0.437763	0.139671	0.227161	0.452197	0.796821	1.08474	0.68178	0.879619	0.891435	1.02828	0.0978794	0.0913665	0.041039	0.0795141	0.0418009	0.611896	0.209562	0.3382	0.0839055	0.11471	0.875373	0.0242764	0.101148	0.0505029	0.0314113	0.0565729	0.0328025	0.14075	0.21169	0.100493	0.466961	1.18548	2.06921	4.68082	4.26098	1.81267	0.58124	1.19393	1.7174	1.84613	0.246696	2.38414	4.50165	3.0986	0.713208	0.081401	9.12613	4.25048	18.1646
9	3.14726	0.590598	0.759209	1.53517	0.842581	0.103332	0.59454	4.3772	16.9021	2.02095	1.22478	5.37875	5.22906	4.88198	0.299251	4.29786	0.852141	0.297177	1.26391	0.802186	0.709844	0.0705025	0.690211	0.0250287	3.71446	0.0386177	0.636671	0.0526103	0.152624	0.322055	0.356067	1.91136	0.458945	3.31098	1.11994	0.621026	1.12681	3.41468	0.994541	0.417295	0.649687	0.638222	0.339131	1.33682	0.824515	1.0215	0.0664185	0.314601	2.6663	10.9798	1.21289	0.480101	0.106441	0.478387	0.636423	1.38678	2.13342	1.79953	0.316442	0.0714411	0.0327422	0.0704936	0.0704103	0.0808281	0.343505	1.23198	0.127728	0.320287	0.632681	0.121756	0.28841	0.313686	0.601052	0.784116	0.478894	0.755186	0.725063	0.795858	0.0761719	0.0932337	0.0400558	0.0722028	0.0422427	0.510419	0.124629	0.200987	0.0544326	0.070042	0.658671	0.0189514	0.0640111	0.0321705	0.0205992	0.0409292	0.0414251	0.0933924	0.469464	0.187825	0.510923	2.04255	1.73034	3.82841	4.37756	1.47558	0.68075	1.21106	1.45612	1.32614	0.169277	1.89389	6.56133	2.8941	0.751387	0.0674316	10.3344	3.13246	11.6352
